model,topic,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
lda_model_90,16,grove,dr,colonel,officer,mr,engineering,president,keith,york,barrier,committee,nichols,district,columbia,production,george,chemistry,letter,girl,dupont
lda_model_90,17,facility,reactor,neutron,source,kelly,science,america,russia,technology,wow,term,accelerator,communist,forth,example,chief,civilian,useful,japan,role
lda_model_90,18,12,k,25,235,diffusion,town,tennessee,reactor,isotope,gaseous,product,separation,equipment,bus,chemistry,barrier,engineering,grove,production,weapon
lda_model_90,19,force,fuchs,gold,interview,command,contact,wendover,base,document,fbi,colonel,anti,york,grove,18,submarine,accident,report,unit,experiment
lda_model_90,20,conant,bush,oppie,scout,grove,trinity,president,harvard,son,denver,chemistry,yield,british,hospital,guard,camp,fermi,technical,student,navy
lda_model_90,21,oppenheimer,play,theater,letter,essentially,wilson,regret,film,act,written,york,szilard,teller,named,reading,music,write,impression,level,fine
lda_model_90,22,community,enjoyed,grandmother,opportunity,black,father,team,mother,play,thirty,folk,eventually,dad,learned,forth,facility,construction,wonderful,played,white
lda_model_90,23,00,laugh,b,plane,tube,island,trouble,pacific,engine,inch,form,force,reactor,aircraft,operation,base,shift,japan,east,train
lda_model_90,24,gi,ph,bus,mud,civilian,k,25,dance,famous,husband,married,dancing,training,colloquium,senior,funny,recall,horse,mostly,seemed
lda_model_90,25,hanford,dupont,berkeley,columbia,lawrence,operation,aluminum,reactor,slug,chemical,river,greenewalt,fish,radioactive,engineering,fermi,dr,element,chemist,pilot
lda_model_90,26,neutron,father,curie,science,france,inaudible,ray,radium,radioactivity,experiment,parent,position,sphere,radiation,institute,french,level,reaction,mother,radioactive
lda_model_90,27,girl,food,bus,married,suppose,dance,village,valley,road,apparatus,dad,child,happy,1947,ration,factory,wedding,laughter,laugh,hall
lda_model_90,28,ship,mit,civilian,harbor,engineering,carrier,mom,check,boston,board,term,married,michigan,navy,mr,bikini,commission,oklahoma,husband,dorm
lda_model_90,29,alpha,beta,magnet,reactor,vacuum,beam,system,power,000,element,fuel,track,unit,copper,magnetic,enriched,phase,silver,gas,pressure
lda_model_90,30,cambridge,fuchs,york,england,fission,neutron,oppenheimer,dupont,japan,hanford,train,theoretical,peierls,suppose,recall,britain,east,frisch,feynman,contact
lda_model_90,31,glass,2,civilian,barrack,feeling,gi,officer,hiroshima,gas,diffusion,fe,santa,3,training,nagasaki,blowing,music,recall,date,shop
lda_model_90,32,plane,mission,crew,airplane,b,wendover,reunion,training,tinian,29,pilot,flew,fly,dropped,colonel,base,hiroshima,flight,flying,force
lda_model_90,33,trinity,ground,explosion,zero,range,glass,tower,sand,photo,000,base,ranch,camera,missile,radiation,etc,camp,north,white,fallout
lda_model_90,34,french,france,father,german,paris,british,england,germany,heavy,frisch,de,difficult,clearly,curie,science,english,scientific,cambridge,obviously,jew
lda_model_90,35,barrier,cell,development,norris,stage,river,bill,essentially,columbia,radiation,developed,iodine,x,pump,pressure,eventually,section,dunning,facility,study
lda_model_90,36,plutonium,hanford,separation,dr,dupont,reactor,scale,chemist,chemical,seaborg,element,1942,bank,bluff,fission,concentration,construction,solution,step,1944
lda_model_90,37,weapon,plutonium,conant,soviet,president,effort,issue,decision,political,oppenheimer,france,crisis,ultimately,term,policy,power,committee,french,plan,europe
lda_model_90,38,richland,train,east,uncle,ring,chance,pasco,texas,foot,community,buy,relative,hurt,dad,bus,played,ready,kid,downtown,tour
lda_model_90,39,oppenheimer,soviet,church,agent,york,communist,espionage,hanford,officer,fbi,party,fuchs,tent,station,intelligence,spy,fellow,road,gold,canyon
lda_model_90,40,oppenheimer,heisenberg,weapon,robert,airplane,berkeley,student,term,personality,testing,michigan,parent,theoretical,intellectual,simple,grove,german,germany,moment,politics
lda_model_90,41,oppenheimer,berkeley,robert,princeton,peter,student,kitty,hearing,inaudible,party,dr,john,secretary,institute,write,thirty,horse,summer,richard,recall
lda_model_90,42,iodine,report,data,instrument,urey,design,document,measurement,separation,system,dunning,doe,235,experiment,letter,sample,classified,otto,helium,weapon
lda_model_90,43,szilard,hanford,laughter,grove,oppenheimer,leo,folk,control,weapon,reaction,white,einstein,teller,hotel,letter,president,defense,columbia,study,inaudible
lda_model_90,44,barrack,civilian,officer,forth,town,service,santa,fe,training,gi,sergeant,wac,tech,personnel,detachment,assigned,unit,various,trinity,post
lda_model_90,45,science,issue,director,weapon,president,public,russian,national,particularly,bill,interest,scientific,within,study,decision,policy,power,treaty,human,role
lda_model_90,46,spanish,bus,barrack,truck,brother,english,equipment,play,church,00,hanford,concrete,cow,ate,river,writing,cabin,played,grandfather,mud
lda_model_90,47,hiroshima,nagasaki,mission,ship,dropped,japan,pilot,enola,000,japanese,target,gay,plane,cloud,colonel,flight,august,drop,crew,29
lda_model_90,48,soviet,german,germany,weapon,neutron,union,reactor,british,plutonium,science,atom,fission,scientific,communist,grove,power,nucleus,french,figure,effort
lda_model_90,49,oppenheimer,robert,kitty,party,frank,berkeley,communist,princeton,member,letter,activity,committee,died,peter,relationship,union,laughter,student,trouble,political
lda_model_90,50,neutron,ray,radiation,cell,data,exposed,source,radioactive,detector,level,gamma,crystal,russian,instrument,population,health,cancer,product,medical,light
lda_model_90,51,reactor,hanford,dupont,du,fermi,pont,cooled,wigner,helium,design,wilmington,john,power,neutron,wheeler,reaction,suppose,compton,grove,engineering
lda_model_90,52,richland,hanford,land,000,river,kennewick,pasco,columbia,camp,native,resource,town,oral,kid,cultural,generation,white,culture,pick,bus
lda_model_90,53,bell,park,richland,husband,bob,kid,town,sister,married,club,dad,dick,peace,pool,wonderful,6,plane,daughter,girl,library
lda_model_90,54,oppenheimer,dorothy,black,student,fe,santa,j,science,famous,east,graduate,town,someone,hill,mckibbin,palace,finished,white,class,eventually
lda_model_90,55,pump,mr,equipment,thousand,lawrence,president,12,main,clean,key,grove,machine,learned,kellex,k,gun,tank,25,inch,floor
lda_model_90,56,hanford,trial,judge,cancer,tom,document,study,disease,report,public,court,lawyer,release,exposed,defense,act,green,milk,law,death
lda_model_90,57,brother,explosive,dad,plutonium,george,fellow,oppenheimer,fire,fermi,mother,father,chemistry,forth,sed,grove,de,teller,hill,rose,trinity
lda_model_90,58,science,reactor,power,technology,national,student,system,engineering,generation,industry,ii,basic,example,fuel,weapon,mit,effort,experiment,design,electricity
lda_model_90,59,k,25,fire,shift,barrier,12,00,acre,town,valley,station,badge,hill,jersey,leak,trailer,smith,ran,married,street
lda_model_90,60,river,fish,orchard,farm,teacher,child,mountain,kid,land,white,service,root,teaching,move,ed,indian,animal,brother,teach,baby
lda_model_90,61,obviously,dealing,reactor,changed,technical,road,learned,term,flat,etc,forth,contractor,various,amazing,technology,badge,risk,worker,authority,experiment
lda_model_90,62,camera,explosion,film,han,bos,foot,plutonium,dropped,record,dorm,child,apartment,trinity,learned,science,door,pin,mess,henry,housing
lda_model_90,63,kansa,manpower,commission,00,texas,train,union,pasco,employment,hired,dupont,immediately,clear,priority,folk,plane,region,concern,cooled,1
lda_model_90,64,hanford,barrack,dupont,hall,reactor,richland,town,camp,construction,b,ship,operation,tank,operator,gas,shift,check,yakima,clock,train
lda_model_90,65,oppenheimer,teller,weapon,hydrogen,russian,edward,committee,bethe,fission,implosion,thermonuclear,force,shot,ulam,radiation,calculation,design,clear,soviet,oppie
lda_model_90,66,oppenheimer,institute,teller,mathematics,princeton,science,robert,einstein,inaudible,mathematician,hungarian,von,neumann,fermi,hearing,america,division,often,york,term
lda_model_90,67,reactor,valve,fuel,pipe,gas,pump,power,system,salt,cost,pressure,light,design,piping,000,molten,flow,steel,inside,baker
lda_model_90,68,core,trailer,rod,fuel,barrack,reactor,environment,alabama,accident,ability,hanford,black,team,hall,white,power,camp,control,exciting,gold
lda_model_90,69,robert,student,mit,graduate,article,class,ray,editor,frank,charlie,compton,law,caltech,wonderful,fermi,oppenheimer,york,chamber,professor,barrack
lda_model_90,70,grove,district,nichols,000,dupont,hanford,colonel,marshall,00,bush,officer,construction,chief,west,corp,report,lawrence,1,river,uniform
lda_model_90,71,chemistry,plutonium,lawrence,husband,chemist,child,science,professor,michigan,student,graduate,various,ernest,dr,class,berkeley,experiment,play,engineering,switch
lda_model_90,72,hanford,waste,river,reactor,tank,cleanup,level,environmental,radiation,facility,issue,clean,plutonium,contamination,effect,national,health,worker,production,000
lda_model_90,73,fermi,pile,experiment,compton,student,science,graphite,enrico,member,stand,reaction,anderson,campus,theoretical,oppenheimer,discussion,faculty,neutron,experimental,professor
lda_model_90,74,radiation,radioactive,atom,ray,health,body,electron,gamma,kid,radioactivity,cancer,waste,measure,student,counter,geiger,instrument,low,alpha,science
lda_model_90,75,fuel,plutonium,reactor,radiation,train,tube,front,system,fe,foot,inaudible,santa,discharge,dropped,inch,element,oxygen,rod,sphere,source
lda_model_90,76,oppie,oppenheimer,student,caltech,theory,mechanic,lecture,graduate,term,seminar,quantum,summer,ray,theoretical,berkeley,electron,professor,particle,class,robert
lda_model_90,77,eastman,dormitory,tennessee,knoxville,hotel,train,empire,alabama,cafeteria,unit,street,l,operate,walked,n,mr,suit,white,avenue,central
lda_model_90,78,community,design,museum,town,housing,architect,often,neighborhood,center,facility,term,create,space,effort,national,planning,particularly,york,population,construction
lda_model_90,79,grove,engineering,construction,chemical,committee,equipment,dupont,boiler,operation,division,steel,executive,industry,board,hanford,president,technical,navy,aluminum,design
lda_model_90,80,russian,hotel,moscow,la,bar,russia,20,space,soviet,academy,fonda,science,fe,santa,agency,underground,control,joint,mary,local
lda_model_90,81,fermi,cyclotron,enrico,experiment,student,bob,graduate,train,critical,harry,pile,engineering,00,arrived,measurement,class,rod,reaction,teacher,letter
lda_model_90,82,reactor,plutonium,fuel,neutron,rod,tube,design,power,control,graphite,hanford,element,radiation,b,level,core,operation,assembly,reaction,safety
lda_model_90,83,fermi,szilard,reaction,neutron,chain,german,einstein,experiment,fission,bohr,teller,heisenberg,germany,professor,york,enrico,scientific,letter,inaudible,theory
lda_model_90,84,inaudible,teller,chadwick,mission,weapon,original,santa,fe,oppenheimer,poland,conversation,laughter,plane,equipment,000,civilian,bohr,h,letter,foot
lda_model_90,85,unit,lunch,hall,mess,chemistry,box,ohio,summer,record,civilian,food,meat,division,bus,mother,radiation,girl,egg,forget,seven
lda_model_90,86,barrier,grove,reactor,columbia,dunning,kellex,carbide,mr,fellow,nickel,keith,urey,york,diffusion,c,baker,plastic,power,graphite,production
lda_model_90,87,teller,refugee,jew,plutonium,helium,edward,000,3,science,explosion,neutron,explosive,weapon,jewish,proton,temperature,camp,germany,begin,low
lda_model_90,88,dupont,design,construction,engineering,equipment,hanford,chemical,cell,separation,wilmington,crane,explosive,operation,foot,facility,powder,division,concrete,steel,safety
lda_model_90,89,engine,division,trailer,computer,camp,brother,husband,chuckle,edward,wow,crew,inaudible,kid,card,barrack,bridge,clean,horse,construction,cut
lda_model_90,90,japanese,japan,hiroshima,surrender,truman,president,decision,emperor,weapon,camp,survivor,peace,nagasaki,bombing,1945,grandfather,000,ii,prisoner,thousand
